sample_id	ARO_id	drug_rgi	Resistance Mechanism	AMR Gene Family	gene_rgi	in_rgi	gene_amrf	drug_amrf	pct_id_amrf	in_amrf	consensus	detected_by	drug_class	gene_label	is_mac
CO1	ARO:3003109					False	msr(D)	MACROLIDE	100.0	True	False	amrf_only	MACROLIDE	msr(D)	True
CO1	ARO:3003582	peptide antibiotic	antibiotic target alteration; antibiotic efflux	pmr phosphoethanolamine transferase	basR	True				False	False	rgi_only	peptide antibiotic	basR	False
CO1	ARO:3003583	peptide antibiotic	antibiotic target alteration; antibiotic efflux	pmr phosphoethanolamine transferase	basS	True				False	False	rgi_only	peptide antibiotic	basS	False
CO1	ARO:3003643	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	OXA-486	True	blaOXA-486	BETA-LACTAM	100.0	True	True	both	carbapenem; cephalosporin; penam	OXA-486	False
CO1	ARO:3003679	triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	TriA	True				False	False	rgi_only	triclosan	TriA	False
CO1	ARO:3003680	triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	TriB	True				False	False	rgi_only	triclosan	TriB	False
CO1	ARO:3003681	triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	TriC	True				False	False	rgi_only	triclosan	TriC	False
CO1	ARO:3003682	triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	OpmH	True				False	False	rgi_only	triclosan	OpmH	False
CO1	ARO:3003684	fluoroquinolone antibiotic	antibiotic target alteration	fluoroquinolone resistant gyrA	Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones	True				False	False	rgi_only	fluoroquinolone antibiotic	Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones	False
CO1	ARO:3003692	macrolide antibiotic; tetracycline antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexJ	True				False	False	rgi_only	macrolide antibiotic; tetracycline antibiotic; triclosan	MexJ	True
CO1	ARO:3003693	macrolide antibiotic; tetracycline antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexK	True				False	False	rgi_only	macrolide antibiotic; tetracycline antibiotic; triclosan	MexK	True
CO1	ARO:3003699	macrolide antibiotic; carbapenem; tetracycline antibiotic; acridine dye; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and intercalating dyes	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	mexQ	True				False	False	rgi_only	macrolide antibiotic; carbapenem; tetracycline antibiotic; acridine dye; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and intercalating dyes	mexQ	True
CO1	ARO:3003700	macrolide antibiotic; carbapenem; tetracycline antibiotic; acridine dye; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and intercalating dyes	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	opmE	True				False	False	rgi_only	macrolide antibiotic; carbapenem; tetracycline antibiotic; acridine dye; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and intercalating dyes	opmE	True
CO1	ARO:3003704	phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	mexM	True				False	False	rgi_only	phenicol antibiotic	mexM	False
CO1	ARO:3003705	phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	mexN	True				False	False	rgi_only	phenicol antibiotic	mexN	False
CO1	ARO:3003710	macrolide antibiotic; tetracycline antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexL	True				False	False	rgi_only	macrolide antibiotic; tetracycline antibiotic; triclosan	MexL	True
CO1	ARO:3003801	bicyclomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	bcr-1	True				False	False	rgi_only	bicyclomycin	bcr-1	False
CO1	ARO:3004033					False	tetB(46)	TETRACYCLINE	99.35	True	False	amrf_only	TETRACYCLINE	tetB(46)	False
CO1	ARO:3004038	aminoglycoside antibiotic	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	Pseudomonas aeruginosa emrE	True				False	False	rgi_only	aminoglycoside antibiotic	Pseudomonas aeruginosa emrE	False
CO1	ARO:3004054	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	Pseudomonas aeruginosa CpxR	True				False	False	rgi_only	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	Pseudomonas aeruginosa CpxR	True
CO1	ARO:3004056	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	ArmR	True				False	False	rgi_only	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	ArmR	True
CO1	ARO:3004060	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	Type B NfxB	True				False	False	rgi_only	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	Type B NfxB	True
CO1	ARO:3004072	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	OpmB	True				False	False	rgi_only	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	OpmB	True
CO1	ARO:3004073	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MuxA	True				False	False	rgi_only	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	MuxA	True
CO1	ARO:3004074	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MuxB	True				False	False	rgi_only	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	MuxB	True
CO1	ARO:3004075	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MuxC	True				False	False	rgi_only	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	MuxC	True
CO1	ARO:3004077	fluoroquinolone antibiotic; aminoglycoside antibiotic; benzalkonium chloride	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	PmpM	True				False	False	rgi_only	fluoroquinolone antibiotic; aminoglycoside antibiotic; benzalkonium chloride	PmpM	False
CO1	ARO:3004107	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; acridine dye; rifamycin antibiotic; phenicol antibiotic; triclosan; disinfecting agents and intercalating dyes	antibiotic target alteration; antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	Pseudomonas aeruginosa soxR	True				False	False	rgi_only	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; acridine dye; rifamycin antibiotic; phenicol antibiotic; triclosan; disinfecting agents and intercalating dyes	Pseudomonas aeruginosa soxR	False
CO1	ARO:3004442	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tet(W/N/W)	True				False	False	rgi_only	tetracycline antibiotic	tet(W/N/W)	False
CO1	ARO:3004836	macrolide antibiotic	antibiotic target alteration	23S rRNA with mutation conferring resistance to macrolide antibiotics	Neisseria gonorrhoeae 23S rRNA with mutation conferring resistance to azithromycin	True				False	False	rgi_only	macrolide antibiotic	Neisseria gonorrhoeae 23S rRNA with mutation conferring resistance to azithromycin	True
CO1	ARO:3005040	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	YajC	True				False	False	rgi_only	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	YajC	False
CO1	ARO:3005063	peptide antibiotic	antibiotic target alteration; antibiotic efflux	pmr phosphoethanolamine transferase	cprR	True				False	False	rgi_only	peptide antibiotic	cprR	False
CO1	ARO:3005064	peptide antibiotic	antibiotic target alteration; antibiotic efflux	pmr phosphoethanolamine transferase	cprS	True				False	False	rgi_only	peptide antibiotic	cprS	False
CO1	ARO:3005067	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; acridine dye; phenicol antibiotic; penem; disinfecting agents and intercalating dyes	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr)	ParS	True				False	False	rgi_only	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; acridine dye; phenicol antibiotic; penem; disinfecting agents and intercalating dyes	ParS	True
CO1	ARO:3005068	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; acridine dye; phenicol antibiotic; penem; disinfecting agents and intercalating dyes	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr)	ParR	True				False	False	rgi_only	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; acridine dye; phenicol antibiotic; penem; disinfecting agents and intercalating dyes	ParR	True
CO1	ARO:3005069	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	rsmA	True				False	False	rgi_only	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	rsmA	False
CO1	ARO:3006618	monobactam; carbapenem; cephalosporin	antibiotic inactivation	PDC beta-lactamase	PDC-24	True	blaPDC-24	BETA-LACTAM	100.0	True	True	both	monobactam; carbapenem; cephalosporin	PDC-24	False
CO1	ARO:3006871					False	blaCSP	BETA-LACTAM	97.85	True	False	amrf_only	BETA-LACTAM	blaCSP	False
CO10	ARO:3000026	glycylcycline; tetracycline antibiotic	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter	mepA	True				False	False	rgi_only	glycylcycline; tetracycline antibiotic	mepA	False
CO10	ARO:3000124					False	blaI	BETA-LACTAM	99.21	True	False	amrf_only	BETA-LACTAM	blaI	False
CO10	ARO:3000149	fosfomycin	antibiotic inactivation	fosfomycin thiol transferase	FosA	True				False	False	rgi_only	fosfomycin	FosA	False
CO10	ARO:3000166	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	tet(B)	True	tet(B)	TETRACYCLINE	100.0	True	True	both	tetracycline antibiotic	tet(B)	False
CO10	ARO:3000186					False	tet(M)	TETRACYCLINE	99.75	True	False	amrf_only	TETRACYCLINE	tet(M)	False
CO10	ARO:3000191					False	tet(Q)	TETRACYCLINE	100.0	True	False	amrf_only	TETRACYCLINE	tet(Q)	False
CO10	ARO:3000194					False	tet(W)	TETRACYCLINE	99.83	True	False	amrf_only	TETRACYCLINE	tet(W)	False
CO10	ARO:3000215					False	blaR1	BETA-LACTAM	100.0	True	False	amrf_only	BETA-LACTAM	blaR1	False
CO10	ARO:3000375	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	ErmB	True	erm(B)	MACROLIDE	99.58	True	True	both	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	ErmB	True
CO10	ARO:3000377	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexA	True				False	False	rgi_only	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	MexA	True
CO10	ARO:3000378	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	MexB	True				False	False	rgi_only	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	MexB	True
