sample_id	contig	status	taxid	organism	is_PA	broad_group	PA_pct	on_plasmid	plasmid_score	n_hallmarks	conjugation_genes	length	mapped_reads	library_size_M	rpkm
CO1	NODE_3_length_283715_cov_92.696323	C	798130	Stenotrophomonas maltophilia	False	Stenotrophomonas spp.	13.804	False				283715	279978	19.614663	50.3107461620884
CO1	NODE_414_length_24987_cov_106.943206	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	13.804	True	0.9423	0.0		24987	28457	19.614663	58.06228807250202
CO1	NODE_435_length_24168_cov_72.263302	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	13.804	False				24168	18589	19.614663	39.21339682056339
CO1	NODE_44160_length_559_cov_1.378968	U	0	Unclassified	False	Other/Unclassified	13.804	False				559	8	19.614663	0.729621004715891
CO1	NODE_4424_length_3054_cov_10.530177	C	28131	Other/Unknown	False	Other/Unclassified	13.804	False				3054	347	19.614663	5.792680711679582
CO1	NODE_444_length_24025_cov_73.721694	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	13.804	True	0.993	0.0		24025	18796	19.614663	39.88606467322423
CO1	NODE_449_length_23740_cov_77.154233	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	13.804	False				23740	19419	19.614663	41.70280777397346
CO1	NODE_531_length_20897_cov_105.670665	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	13.804	True	0.9892	0.0		20897	23763	19.614663	57.97442826542458
CO1	NODE_53_length_93177_cov_87.292971	C	1009714	Achromobacter xylosoxidans	False	Achromobacter spp.	13.804	False				93177	86690	19.614663	47.43287278303754
CO1	NODE_54_length_92512_cov_77.419460	C	1427342	Other/Unknown	False	Other/Unclassified	13.804	False				92512	76392	19.614663	42.098726592051975
CO1	NODE_67_length_84029_cov_63.307107	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	13.804	True	1.0	9.0	I_traV;MOBH;G_tfc19;G_tfc18;G_tfc22;G_tfc23;G_tfc24;virb4;G_tfc15;G_tfc14;G_tfc13;G_tfc12;G_tfc11;G_tfc10	84029	56696	19.614663	34.39872722245451
CO1	NODE_690_length_16553_cov_88.807855	C	381754	Bradyrhizobiaceae (unclassified)	False	Other/Unclassified	13.804	False				16553	15615	19.614663	48.0932828010708
CO1	NODE_7034_length_2127_cov_223.136583	C	28449	Actinomyces sp.	False	Rothia / Actinomyces	13.804	False				2127	5147	19.614663	123.36893835222348
CO1	NODE_734_length_15957_cov_87.222928	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	13.804	False				15957	14124	19.614663	45.12587259877679
CO1	NODE_7455_length_2036_cov_4.134780	C	1871022	Streptococcus sp.	False	Streptococcus / oral Firmicutes	13.804	False				2036	89	19.614663	2.228596181582778
CO1	NODE_7600_length_2009_cov_3.058854	C	712633	Streptococcus sp.	False	Streptococcus / oral Firmicutes	13.804	False				2009	91	19.614663	2.3093013245951135
CO1	NODE_7603_length_2008_cov_5.879160	C	1660	Bifidobacterium sp.	False	Other/Unclassified	13.804	False				2008	132	19.614663	3.3514239726080786
CO1	NODE_7_length_196761_cov_60.914756	C	1009714	Achromobacter xylosoxidans	False	Achromobacter spp.	13.804	False				196761	126784	19.614663	32.850696167686834
CO1	NODE_8545_length_1844_cov_4.517608	C	491077	Other/Unknown	False	Other/Unclassified	13.804	False				1844	90	19.614663	2.488288553908383
CO1	NODE_89_length_70471_cov_74.410929	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	13.804	False				70471	55923	19.614663	40.45751240708991
CO10	NODE_1034_length_2597_cov_15.269866	C	171549	Bacteroidales (unclassified)	False	Other/Unclassified	23.1167	False				2597	438	3.775075	44.67623602232109
CO10	NODE_1056_length_2565_cov_4.760956	C	1280	Staphylococcus aureus	False	Staphylococcus aureus	23.1167	False				2565	138	3.775075	14.251682308468911
CO10	NODE_106_length_40422_cov_10.480937	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	23.1167	False				40422	4580	3.775075	30.013876834038616
CO10	NODE_108_length_40120_cov_12.762885	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	23.1167	False				40120	5536	3.775075	36.55186767796054
CO10	NODE_1092_length_2503_cov_2.955882	C	1301	Streptococcus sp.	False	Streptococcus / oral Firmicutes	23.1167	False				2503	77	3.775075	8.148999503014215
CO10	NODE_11_length_143073_cov_15.130165	C	798130	Stenotrophomonas maltophilia	False	Stenotrophomonas spp.	23.1167	False				143073	23377	3.775075	43.281819438015894
CO10	NODE_122_length_35117_cov_13.030660	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	23.1167	False				35117	4940	3.775075	37.263526872455024
CO10	NODE_136_length_31393_cov_10.708948	C	1009714	Achromobacter xylosoxidans	False	Achromobacter spp.	23.1167	False				31393	3621	3.775075	30.55414395989404
CO10	NODE_13_length_133241_cov_12.313021	C	798130	Stenotrophomonas maltophilia	False	Stenotrophomonas spp.	23.1167	False				133241	17782	3.775075	35.35225638241346
CO10	NODE_141_length_30336_cov_8.250784	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	23.1167	True	0.9999	1.0		30336	2642	3.775075	23.07007005840636
CO10	NODE_148_length_28901_cov_5.501629	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	23.1167	True	0.9999	2.0	G_tfc2	28901	1703	3.775075	15.609040006499535
CO10	NODE_14_length_128631_cov_9.931931	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	23.1167	False				128631	13789	3.775075	28.396285986492796
CO10	NODE_15_length_125737_cov_15.586043	C	1009714	Achromobacter xylosoxidans	False	Achromobacter spp.	23.1167	False				125737	21134	3.775075	44.523882163051965
CO10	NODE_1631_length_1906_cov_2.793625	C	1352	Klebsiella pneumoniae	False	Enterobacteria / other	23.1167	True	1.0	1.0	MOBV	1906	57	3.775075	7.921845628258958
CO10	NODE_168_length_25444_cov_9.349364	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	23.1167	False				25444	2553	3.775075	26.579073838335994
CO10	NODE_1754_length_1820_cov_45.169405	C	1871022	Streptococcus sp.	False	Streptococcus / oral Firmicutes	23.1167	False				1820	839	3.775075	122.11386819838306
CO10	NODE_177_length_23976_cov_12.594290	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	23.1167	False				23976	3247	3.775075	35.87401409519734
CO10	NODE_193_length_20696_cov_32.822150	C	1280	Staphylococcus aureus	False	Staphylococcus aureus	23.1167	True	1.0	1.0		20696	6983	3.775075	89.37787853758006
CO10	NODE_1947_length_1697_cov_3.919610	C	1351	Enterococcus sp.	False	Enterobacteria / other	23.1167	False				1697	79	3.775075	12.33160669116257
CO10	NODE_198_length_20075_cov_9.707992	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	23.1167	False				20075	2068	3.775075	27.28785484530426
CO10	NODE_203_length_19091_cov_16.770120	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	23.1167	False				19091	3422	3.775075	47.48164354127875
CO10	NODE_2044_length_1643_cov_2.818640	C	838	Prevotella sp.	False	Oral anaerobes	23.1167	False				1643	47	3.775075	7.577652935587382
CO10	NODE_21_length_111582_cov_14.246039	C	798130	Stenotrophomonas maltophilia	False	Stenotrophomonas spp.	23.1167	False				111582	17123	3.775075	40.64996078601694
CO10	NODE_23_length_109718_cov_12.152485	C	1280938	Prevotella sp.	False	Oral anaerobes	23.1167	False				109718	14380	3.775075	34.71805760031337
CO10	NODE_24_length_108861_cov_15.409095	C	1009714	Achromobacter xylosoxidans	False	Achromobacter spp.	23.1167	False				108861	18100	3.775075	44.043383118542195
CO10	NODE_2614_length_1403_cov_3.910237	C	1239	Firmicutes (unclassified)	False	Other/Unclassified	23.1167	False				1403	58	3.775075	10.95077203627279
CO10	NODE_3193_length_1241_cov_3.791737	C	1016	Other/Unknown	False	Other/Unclassified	23.1167	False				1241	47	3.775075	10.032299575479506
CO10	NODE_33_length_85225_cov_11.040989	C	798130	Stenotrophomonas maltophilia	False	Stenotrophomonas spp.	23.1167	False				85225	10186	3.775075	31.6600121863928
CO10	NODE_340_length_7627_cov_4.330296	C	1280	Staphylococcus aureus	False	Staphylococcus aureus	23.1167	False				7627	383	3.775075	13.302076567636634
CO10	NODE_363_length_7107_cov_32.116279	C	1074919	Other/Unknown	False	Other/Unclassified	23.1167	True	1.0	1.0		7107	2463	3.775075	91.80207806303608
CO10	NODE_3_length_225095_cov_15.007319	C	1147787	Other/Unknown	False	Other/Unclassified	23.1167	False				225095	36344	3.775075	42.77020101225279
CO10	NODE_44_length_75072_cov_12.250943	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	23.1167	False				75072	9918	3.775075	34.99617129606663
CO10	NODE_453_length_5469_cov_4.063170	C	1193576	Other/Unknown	False	Other/Unclassified	23.1167	False				5469	260	3.775075	12.59330843876012
CO10	NODE_48_length_72753_cov_11.002572	C	798130	Stenotrophomonas maltophilia	False	Stenotrophomonas spp.	23.1167	False				72753	8620	3.775075	31.385624552654548
CO10	NODE_49_length_72211_cov_17.743334	C	798130	Stenotrophomonas maltophilia	False	Stenotrophomonas spp.	23.1167	True	0.8396	0.0		72211	13864	3.775075	50.858038493937784
CO10	NODE_4_length_222682_cov_8.276157	C	539	Other/Unknown	False	Other/Unclassified	23.1167	False				222682	19796	3.775075	23.548689732890228
CO10	NODE_532_length_4479_cov_8.742541	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	23.1167	False				4479	413	3.775075	24.42549675468612
CO10	NODE_5_length_209091_cov_10.596615	C	798130	Stenotrophomonas maltophilia	False	Stenotrophomonas spp.	23.1167	False				209091	23929	3.775075	30.315422533443048
CO10	NODE_61_length_62578_cov_11.200534	C	680646	Actinomyces sp.	False	Rothia / Actinomyces	23.1167	False				62578	7644	3.775075	32.35738491540838
CO10	NODE_668_length_3678_cov_2.778360	C	1283	Other/Unknown	False	Other/Unclassified	23.1167	True	0.9395	0.0		3678	111	3.775075	7.994396230732924
CO10	NODE_67_length_59692_cov_12.501115	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	23.1167	False				59692	8060	3.775075	35.767890494521076
CO10	NODE_6_length_183686_cov_18.840985	C	798130	Stenotrophomonas maltophilia	False	Stenotrophomonas spp.	23.1167	True	0.9978	0.0		183686	37223	3.775075	53.67965687614333
CO10	NODE_71_length_56404_cov_7.658202	C	287	Pseudomonas aeruginosa	True	Pseudomonas aeruginosa	23.1167	False				56404	4632	3.775075	21.753696371814492
CO10	NODE_7766_length_718_cov_2.253394	C	1239	Firmicutes (unclassified)	False	Other/Unclassified	23.1167	False				718	16	3.775075	5.902961547167697
CO10	NODE_802_length_3169_cov_3.427425	C	1280	Staphylococcus aureus	False	Staphylococcus aureus	23.1167	True	1.0	0.0		3169	116	3.775075	9.696392027068931
CO10	NODE_81_length_51240_cov_11.409026	C	1009714	Achromobacter xylosoxidans	False	Achromobacter spp.	23.1167	True	0.9936	0.0		51240	6302	3.775075	32.57944588607544
CO10	NODE_884_length_2939_cov_10.367892	C	171549	Bacteroidales (unclassified)	False	Other/Unclassified	23.1167	False				2939	357	3.775075	32.17681442538506
CO11	NODE_10697_length_745_cov_2.565217	C	1239	Firmicutes (unclassified)	False	Other/Unclassified	0.0	False				745	19	3.293453	7.743652544820888
CO11	NODE_14540_length_631_cov_1.975694	C	28132	Neisseria elongata	False	Neisseria spp.	0.0	False				631	12	3.293453	5.774314267303256
CO11	NODE_1_length_385710_cov_30.102981	C	522373	Prevotella sp.	False	Oral anaerobes	0.0	False				385710	125193	3.293453	98.55250731291198
CO11	NODE_22_length_73392_cov_33.232638	C	522373	Prevotella sp.	False	Oral anaerobes	0.0	False				73392	26485	3.293453	109.57204933345524
CO11	NODE_24_length_72480_cov_32.652924	C	522373	Prevotella sp.	False	Oral anaerobes	0.0	True	0.9992	0.0		72480	25738	3.293453	107.82144348564904
CO11	NODE_251_length_9451_cov_4.922627	C	2650157	Rothia sp.	False	Rothia / Actinomyces	0.0	True	1.0	1.0		9451	495	3.293453	15.902886729983033
CO11	NODE_2796_length_1631_cov_3.177030	C	171549	Bacteroidales (unclassified)	False	Other/Unclassified	0.0	False				1631	56	3.293453	10.425156803056808
CO11	NODE_31_length_55140_cov_35.289335	C	522373	Prevotella sp.	False	Oral anaerobes	0.0	False				55140	21153	3.293453	116.48063713327244
CO11	NODE_35_length_50203_cov_29.281567	C	868597	Other/Unknown	False	Other/Unclassified	0.0	False				50203	16109	3.293453	97.42881966496778
CO11	NODE_449_length_5765_cov_5.828196	C	1301	Streptococcus sp.	False	Streptococcus / oral Firmicutes	0.0	False				5765	361	3.293453	19.013252692444
CO11	NODE_55_length_35207_cov_32.584888	C	522373	Prevotella sp.	False	Oral anaerobes	0.0	False				35207	12478	3.293453	107.61293860287188
CO11	NODE_567_length_4862_cov_11.259413	C	488	Neisseria meningitidis	False	Neisseria spp.	0.0	False				4862	417	3.293453	26.04171791808419
CO11	NODE_6868_length_948_cov_2.002240	C	43675	Stenotrophomonas sp.	False	Stenotrophomonas spp.	0.0	False				948	19	3.293453	6.085465343767471
CO11	NODE_8_length_109525_cov_35.251850	C	522373	Prevotella sp.	False	Oral anaerobes	0.0	False				109525	42138	3.293453	116.81784406135516
CO12	NODE_13_length_150330_cov_442.632660	C	1055524	Veillonella sp.	False	Other/Unclassified	0.0448	True	0.9991	0.0		150330	714543	34.723144	136.88746161088176
CO12	NODE_1_length_1802654_cov_428.464017	C	1055524	Veillonella sp.	False	Other/Unclassified	0.0448	True	0.9986	8.0	T_virB1;T_virB9	1802654	8360761	34.723144	133.57168079488014
CO12	NODE_232_length_3527_cov_563.063076	C	95486	Other/Unknown	False	Other/Unclassified	0.0448	False				3527	16165	34.723144	131.99309362802282
CO12	NODE_235_length_3494_cov_586.421634	C	95486	Other/Unknown	False	Other/Unclassified	0.0448	False				3494	17010	34.723144	140.20463514325348
CO12	NODE_2_length_830177_cov_414.601369	C	1055524	Veillonella sp.	False	Other/Unclassified	0.0448	False				830177	3721442	34.723144	129.09859513358955
CO12	NODE_3_length_631298_cov_453.186643	C	1055524	Veillonella sp.	False	Other/Unclassified	0.0448	False				631298	3101881	34.723144	141.50496483563197
CO12	NODE_430_length_2455_cov_4.804167	C	1871022	Streptococcus sp.	False	Streptococcus / oral Firmicutes	0.0448	False				2455	125	34.723144	1.4663561843653958
CO12	NODE_7_length_279072_cov_433.741320	C	1055524	Veillonella sp.	False	Other/Unclassified	0.0448	True	0.9993	0.0		279072	1313192	34.723144	135.51673264755317
CO12	NODE_9_length_266377_cov_454.875666	C	1055524	Veillonella sp.	False	Other/Unclassified	0.0448	True	0.9985	2.0		266377	1312132	34.723144	141.86059015541642
CO13	NODE_1151_length_995_cov_1.902128	C	1871022	Streptococcus sp.	False	Streptococcus / oral Firmicutes	0.0	False				995	19	26.699296	0.715205276833317
CO13	NODE_1226_length_964_cov_3.851485	C	9606	Other/Unknown	False	Other/Unclassified	0.0	False				964	36	26.699296	1.3987034841760984
CO13	NODE_14_length_168510_cov_352.421745	C	1167634	Achromobacter sp.	False	Achromobacter spp.	0.0	True	0.9998	0.0		168510	646728	26.699296	143.7461346615313
CO13	NODE_1_length_822402_cov_331.676562	C	1167634	Achromobacter sp.	False	Achromobacter spp.	0.0	True	0.9999	1.0		822402	2973240	26.699296	135.4085223659624
CO13	NODE_20_length_106753_cov_336.834308	C	1167634	Achromobacter sp.	False	Achromobacter spp.	0.0	False				106753	386142	26.699296	135.47749035374616
CO13	NODE_2_length_618508_cov_367.158229	C	1167634	Achromobacter sp.	False	Achromobacter spp.	0.0	False				618508	2473503	26.699296	149.78465035160374
CO13	NODE_31_length_34404_cov_402.916155	C	1167634	Achromobacter sp.	False	Achromobacter spp.	0.0	True	0.9979	0.0		34404	150904	26.699296	164.2827645649811
CO13	NODE_8_length_244190_cov_359.698446	C	1167634	Achromobacter sp.	False	Achromobacter spp.	0.0	False				244190	958085	26.699296	146.9522891830508
CO14	NODE_199_length_3837_cov_3.707298	C	735	Other/Unknown	False	Other/Unclassified	0.0	True	1.0	1.0	MOBP1	3837	150	0.802475	48.715587948065576
CO14	NODE_1_length_16294_cov_6.850052	C	46170	Fusobacterium nucleatum	False	Oral anaerobes	0.0	True	1.0	0.0		16294	1239	0.802475	94.75717027756043
CO14	NODE_4_length_13762_cov_7.299555	C	46170	Fusobacterium nucleatum	False	Oral anaerobes	0.0	True	1.0	5.0	MOBV	13762	1063	0.802475	96.25431320399235
CO14	NODE_842_length_2226_cov_1.934132	C	1307	Other/Unknown	False	Other/Unclassified	0.0	False				2226	47	0.802475	26.311232150243185
CO14	NODE_864_length_2197_cov_4.031746	C	1280	Staphylococcus aureus	False	Staphylococcus aureus	0.0	True	0.9999	1.0		2197	94	0.802475	53.317071248467286
CO15	NODE_11994_length_1237_cov_239.748731	C	1239	Firmicutes (unclassified)	False	Other/Unclassified	0.0	False				1237	2950	5.467835	436.151043361376
CO15	NODE_13118_length_1163_cov_3.343863	U	0	Unclassified	False	Other/Unclassified	0.0	False				1163	41	5.467835	6.447461260666864
CO15	NODE_1528_length_5511_cov_75.149743	C	1301	Streptococcus sp.	False	Streptococcus / oral Firmicutes	0.0	False				5511	4445	5.467835	147.51152527831908
CO15	NODE_1609_length_5322_cov_20.924435	C	1316408	Haemophilus sp.	False	Haemophilus spp.	0.0	False				5322	1316	5.467835	45.22365074170136
CO15	NODE_18803_length_903_cov_34.477594	C	976	Other/Unknown	False	Other/Unclassified	0.0	False				903	294	5.467835	59.54484642437769
CO15	NODE_1955_length_4622_cov_3.215021	C	400065	Other/Unknown	False	Other/Unclassified	0.0	False				4622	225	5.467835	8.903016460960844
CO15	NODE_2058_length_4432_cov_4.838474	C	1280	Staphylococcus aureus	False	Staphylococcus aureus	0.0	False				4432	248	5.467835	10.23379065029596
CO15	NODE_2109_length_4338_cov_7.567826	C	488	Neisseria meningitidis	False	Neisseria spp.	0.0	True	1.0	0.0		4338	344	5.467835	14.502854645152388
CO15	NODE_239_length_20182_cov_16.785860	C	1177574	Bacteroides sp.	False	Oral anaerobes	0.0	False				20182	3712	5.467835	33.637860494052234
CO15	NODE_2414_length_3926_cov_22.809352	C	1660	Bifidobacterium sp.	False	Other/Unclassified	0.0	False				3926	880	5.467835	40.99368657118208
CO15	NODE_2697_length_3634_cov_4.788209	C	548473	Other/Unknown	False	Other/Unclassified	0.0	False				3634	194	5.467835	9.763407281864902
CO15	NODE_2749_length_3571_cov_7.862059	C	365659	Streptococcus sanguinis	False	Streptococcus / oral Firmicutes	0.0	False				3571	366	5.467835	18.744585210762413
CO15	NODE_3244_length_3152_cov_4.338069	C	46170	Fusobacterium nucleatum	False	Oral anaerobes	0.0	True	1.0	0.0		3152	158	5.467835	9.16759623384749
CO15	NODE_360_length_15835_cov_5.450634	C	1280	Staphylococcus aureus	False	Staphylococcus aureus	0.0	True	0.7886	0.0		15835	988	5.467835	11.410993980302502
CO15	NODE_3704_length_2871_cov_3.129261	C	28129	Gemella sp.	False	Streptococcus / oral Firmicutes	0.0	False				2871	96	5.467835	6.115368613221653
CO15	NODE_4877_length_2348_cov_4.004797	C	1280	Staphylococcus aureus	False	Staphylococcus aureus	0.0	False				2348	114	5.467835	8.879558200666205
CO15	NODE_511_length_12677_cov_5.321106	C	1280	Staphylococcus aureus	False	Staphylococcus aureus	0.0	False				12677	789	5.467835	11.38269534612663
CO15	NODE_538_length_12360_cov_4.905973	C	1280	Staphylococcus aureus	False	Staphylococcus aureus	0.0	False				12360	690	5.467835	10.209752620268643
CO15	NODE_551_length_12072_cov_29.887992	C	1301	Streptococcus sp.	False	Streptococcus / oral Firmicutes	0.0	False				12072	3897	5.467835	59.03856302766375
CO15	NODE_5671_length_2107_cov_11.230019	C	838	Prevotella sp.	False	Oral anaerobes	0.0	False				2107	249	5.467835	21.61321685083097
CO15	NODE_5742_length_2084_cov_35.077378	C	84999	Other/Unknown	False	Other/Unclassified	0.0	False				2084	769	5.467835	67.48592804753555
CO15	NODE_609_length_11173_cov_4.709750	C	1280	Staphylococcus aureus	False	Staphylococcus aureus	0.0	False				11173	613	5.467835	10.034027226989627
CO15	NODE_69_length_37695_cov_10.753427	C	28132	Neisseria elongata	False	Neisseria spp.	0.0	False				37695	4187	5.467835	20.31439125138117
CO15	NODE_886_length_8349_cov_35.573306	C	1122984	Other/Unknown	False	Other/Unclassified	0.0	True	0.9998	0.0		8349	3068	5.467835	67.20560477464883
CO16	NODE_1026_length_1186_cov_23.465075	C	584	Fusobacterium sp.	False	Oral anaerobes	0.0	False				1186	272	1.291551	177.57125127082426
CO16	NODE_15_length_42295_cov_10.963613	C	529507	Other/Unknown	False	Other/Unclassified	0.0	True	0.9994	0.0		42295	4966	1.291551	90.90884203560977
CO16	NODE_165_length_6183_cov_18.651926	C	454169	Other/Unknown	False	Other/Unclassified	0.0	True	1.0	0.0		6183	1202	1.291551	150.51980990134922
CO16	NODE_1689_length_870_cov_41.855215	C	2	Bacteria (unclassified)	False	Other/Unclassified	0.0	False				870	347	1.291551	308.81519561569286
CO16	NODE_183_length_4980_cov_21.249746	C	565	Other/Unknown	False	Other/Unclassified	0.0	False				4980	1139	1.291551	177.08542631127304
CO16	NODE_185_length_4909_cov_10.186444	C	1903414	Other/Unknown	False	Other/Unclassified	0.0	True	0.9998	0.0		4909	525	1.291551	82.80464722941261
CO16	NODE_188_length_4537_cov_17.526328	C	91347	Other/Unknown	False	Other/Unclassified	0.0	True	0.9983	0.0		4537	841	1.291551	143.52106768372886
CO16	NODE_204_length_4132_cov_16.693893	C	91347	Other/Unknown	False	Other/Unclassified	0.0	False				4132	718	1.291551	134.54035565063197
CO16	NODE_2480_length_679_cov_29.536859	C	1224	Proteobacteria (unclassified)	False	Other/Unclassified	0.0	False				679	191	1.291551	217.79707000657723
CO16	NODE_25_length_35692_cov_10.290793	C	529507	Other/Unknown	False	Other/Unclassified	0.0	False				35692	3938	1.291551	85.42662867897815
CO16	NODE_26_length_35148_cov_15.499615	C	584	Fusobacterium sp.	False	Oral anaerobes	0.0	False				35148	5780	1.291551	127.32557926917458
CO16	NODE_303_length_2956_cov_18.500517	C	1224	Proteobacteria (unclassified)	False	Other/Unclassified	0.0	True	0.9414	0.0		2956	566	1.291551	148.2519592106705
CO16	NODE_56_length_22766_cov_13.528202	C	584	Fusobacterium sp.	False	Oral anaerobes	0.0	False				22766	3307	1.291551	112.4697949586526
CO16	NODE_70_length_20345_cov_11.910202	C	529507	Other/Unknown	False	Other/Unclassified	0.0	False				20345	2585	1.291551	98.3764832121286
CO16	NODE_73_length_19909_cov_11.424751	C	584	Fusobacterium sp.	False	Oral anaerobes	0.0	False				19909	2428	1.291551	94.42514834583304
CO16	NODE_7_length_61893_cov_10.468207	C	584	Fusobacterium sp.	False	Oral anaerobes	0.0	False				61893	6982	1.291551	87.3427276876705
